Date,Offence category,Incident_Count,Year,Month_Num,Month_Label
2021-01-14,Other offences,186.0,2021,1,Jan-21
2021-01-14,Other offences against the person,3.0,2021,1,Jan-21
2021-01-14,Pornography offences,6.0,2021,1,Jan-21
2021-01-14,Prohibited and regulated weapons offences,44.0,2021,1,Jan-21
2021-01-14,Robbery,1.0,2021,1,Jan-21
2021-01-14,Sexual offences,42.0,2021,1,Jan-21
2021-01-14,Theft,570.0,2021,1,Jan-21
2021-01-14,Transport regulatory offences,352.0,2021,1,Jan-21
2021-01-15,Abduction and kidnapping,2.0,2021,1,Jan-21
2021-01-15,Against justice procedures,243.0,2021,1,Jan-21
2021-01-15,Arson,17.0,2021,1,Jan-21
2021-01-15,Assault,173.0,2021,1,Jan-21
2021-01-15,Betting and gaming offences,0.0,2021,1,Jan-21
2021-01-15,Blackmail and extortion,1.0,2021,1,Jan-21
2021-01-15,Coercive Control,0.0,2021,1,Jan-21
2021-01-15,Disorderly conduct,44.0,2021,1,Jan-21
2021-01-15,Drug offences,160.0,2021,1,Jan-21
2021-01-15,Homicide,0.0,2021,1,Jan-21
2021-01-15,"Intimidation, stalking and harassment",124.0,2021,1,Jan-21
2021-01-15,Liquor offences,45.0,2021,1,Jan-21
2021-01-15,Malicious damage to property,154.0,2021,1,Jan-21
2021-01-15,Other offences,158.0,2021,1,Jan-21
2021-01-15,Other offences against the person,3.0,2021,1,Jan-21
2021-01-15,Pornography offences,3.0,2021,1,Jan-21
2021-01-15,Prohibited and regulated weapons offences,39.0,2021,1,Jan-21
2021-01-15,Robbery,13.0,2021,1,Jan-21
2021-01-15,Sexual offences,42.0,2021,1,Jan-21
2021-01-15,Theft,514.0,2021,1,Jan-21
2021-01-15,Transport regulatory offences,276.0,2021,1,Jan-21
2021-01-16,Abduction and kidnapping,0.0,2021,1,Jan-21
2021-01-16,Against justice procedures,213.0,2021,1,Jan-21
2021-01-16,Arson,11.0,2021,1,Jan-21
2021-01-16,Assault,192.0,2021,1,Jan-21
2021-01-16,Betting and gaming offences,1.0,2021,1,Jan-21
2021-01-16,Blackmail and extortion,1.0,2021,1,Jan-21
2021-01-16,Coercive Control,0.0,2021,1,Jan-21
2021-01-16,Disorderly conduct,59.0,2021,1,Jan-21
2021-01-16,Drug offences,143.0,2021,1,Jan-21
2021-01-16,Homicide,1.0,2021,1,Jan-21
2021-01-16,"Intimidation, stalking and harassment",121.0,2021,1,Jan-21
2021-01-16,Liquor offences,46.0,2021,1,Jan-21
2021-01-16,Malicious damage to property,152.0,2021,1,Jan-21
2021-01-16,Other offences,198.0,2021,1,Jan-21
2021-01-16,Other offences against the person,6.0,2021,1,Jan-21
2021-01-16,Pornography offences,0.0,2021,1,Jan-21
2021-01-16,Prohibited and regulated weapons offences,27.0,2021,1,Jan-21
2021-01-16,Robbery,9.0,2021,1,Jan-21
2021-01-16,Sexual offences,29.0,2021,1,Jan-21
2021-01-16,Theft,405.0,2021,1,Jan-21
2021-01-16,Transport regulatory offences,200.0,2021,1,Jan-21
2021-01-17,Abduction and kidnapping,1.0,2021,1,Jan-21
2021-01-17,Against justice procedures,148.0,2021,1,Jan-21
2021-01-17,Arson,8.0,2021,1,Jan-21
2021-01-17,Assault,199.0,2021,1,Jan-21
2021-01-17,Betting and gaming offences,0.0,2021,1,Jan-21
2021-01-17,Blackmail and extortion,0.0,2021,1,Jan-21
2021-01-17,Coercive Control,0.0,2021,1,Jan-21
2021-01-17,Disorderly conduct,41.0,2021,1,Jan-21
2021-01-17,Drug offences,71.0,2021,1,Jan-21
2021-01-17,Homicide,0.0,2021,1,Jan-21
2021-01-17,"Intimidation, stalking and harassment",105.0,2021,1,Jan-21
2021-01-17,Liquor offences,25.0,2021,1,Jan-21
2021-01-17,Malicious damage to property,151.0,2021,1,Jan-21
2021-01-17,Other offences,158.0,2021,1,Jan-21
2021-01-17,Other offences against the person,5.0,2021,1,Jan-21
2021-01-17,Pornography offences,3.0,2021,1,Jan-21
2021-01-17,Prohibited and regulated weapons offences,24.0,2021,1,Jan-21
2021-01-17,Robbery,4.0,2021,1,Jan-21
2021-01-17,Sexual offences,15.0,2021,1,Jan-21
2021-01-17,Theft,404.0,2021,1,Jan-21
2021-01-17,Transport regulatory offences,137.0,2021,1,Jan-21
2021-01-18,Abduction and kidnapping,0.0,2021,1,Jan-21
2021-01-18,Against justice procedures,260.0,2021,1,Jan-21
2021-01-18,Arson,16.0,2021,1,Jan-21
2021-01-18,Assault,197.0,2021,1,Jan-21
2021-01-18,Betting and gaming offences,0.0,2021,1,Jan-21
2021-01-18,Blackmail and extortion,0.0,2021,1,Jan-21
2021-01-18,Coercive Control,0.0,2021,1,Jan-21
2021-01-18,Disorderly conduct,49.0,2021,1,Jan-21
2021-01-18,Drug offences,84.0,2021,1,Jan-21
2021-01-18,Homicide,0.0,2021,1,Jan-21
2021-01-18,"Intimidation, stalking and harassment",119.0,2021,1,Jan-21
2021-01-18,Liquor offences,7.0,2021,1,Jan-21
